device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,delayed_flag
8,34,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
9,34,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
6,31,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,1
7,35,1970-01-01 02:00:32,2025-11-05 16:26:31,0,0,0
9,35,1970-01-01 02:00:32,2025-11-05 16:26:31,0,0,0
6,35,1970-01-01 02:00:32,2025-11-05 16:26:31,0,0,0
8,35,1970-01-01 02:00:32,2025-11-05 16:26:31,0,0,0
7,36,1970-01-01 02:00:33,2025-11-05 16:26:32,0,0,0
9,36,1970-01-01 02:00:33,2025-11-05 16:26:32,0,0,0
8,36,1970-01-01 02:00:33,2025-11-05 16:26:32,0,0,0
6,36,1970-01-01 02:00:33,2025-11-05 16:26:32,0,0,0
7,37,1970-01-01 02:00:34,2025-11-05 16:26:33,0,0,0
9,37,1970-01-01 02:00:34,2025-11-05 16:26:33,0,0,0
8,37,1970-01-01 02:00:34,2025-11-05 16:26:33,0,0,0
6,37,1970-01-01 02:00:34,2025-11-05 16:26:33,0,0,0
7,38,1970-01-01 02:00:35,2025-11-05 16:26:34,0,0,0
6,38,1970-01-01 02:00:35,2025-11-05 16:26:34,0,0,0
9,38,1970-01-01 02:00:35,2025-11-05 16:26:34,0,0,0
8,38,1970-01-01 02:00:35,2025-11-05 16:26:34,0,0,0
7,39,1970-01-01 02:00:36,2025-11-05 16:26:35,0,0,0
9,39,1970-01-01 02:00:36,2025-11-05 16:26:35,0,0,0
6,39,1970-01-01 02:00:36,2025-11-05 16:26:35,0,0,0
8,39,1970-01-01 02:00:36,2025-11-05 16:26:35,0,0,0
7,40,1970-01-01 02:00:37,2025-11-05 16:26:36,0,0,0
8,40,1970-01-01 02:00:37,2025-11-05 16:26:36,0,0,0
9,40,1970-01-01 02:00:37,2025-11-05 16:26:36,0,0,0
6,40,1970-01-01 02:00:37,2025-11-05 16:26:36,0,0,0
7,41,1970-01-01 02:00:38,2025-11-05 16:26:37,0,0,0
9,41,1970-01-01 02:00:38,2025-11-05 16:26:37,0,0,0
8,41,1970-01-01 02:00:38,2025-11-05 16:26:37,0,0,0
6,41,1970-01-01 02:00:38,2025-11-05 16:26:37,0,0,0
7,42,1970-01-01 02:00:39,2025-11-05 16:26:38,0,0,0
9,42,1970-01-01 02:00:39,2025-11-05 16:26:38,0,0,0
8,42,1970-01-01 02:00:39,2025-11-05 16:26:38,0,0,0
6,42,1970-01-01 02:00:39,2025-11-05 16:26:38,0,0,0
7,43,1970-01-01 02:00:40,2025-11-05 16:26:39,0,0,0
8,43,1970-01-01 02:00:40,2025-11-05 16:26:39,0,0,0
6,43,1970-01-01 02:00:40,2025-11-05 16:26:39,0,0,0
9,43,1970-01-01 02:00:40,2025-11-05 16:26:39,0,0,0
7,44,1970-01-01 02:00:41,2025-11-05 16:26:40,0,0,0
6,44,1970-01-01 02:00:41,2025-11-05 16:26:40,0,0,0
9,44,1970-01-01 02:00:41,2025-11-05 16:26:40,0,0,0
8,44,1970-01-01 02:00:41,2025-11-05 16:26:40,0,0,0
7,45,1970-01-01 02:00:42,2025-11-05 16:26:41,0,0,0
9,45,1970-01-01 02:00:42,2025-11-05 16:26:41,0,0,0
8,45,1970-01-01 02:00:42,2025-11-05 16:26:41,0,0,0
6,45,1970-01-01 02:00:42,2025-11-05 16:26:41,0,0,0
7,46,1970-01-01 02:00:43,2025-11-05 16:26:42,0,0,0
9,46,1970-01-01 02:00:43,2025-11-05 16:26:42,0,0,0
8,46,1970-01-01 02:00:43,2025-11-05 16:26:42,0,0,0
6,46,1970-01-01 02:00:43,2025-11-05 16:26:42,0,0,0
7,47,1970-01-01 02:00:44,2025-11-05 16:26:43,0,0,0
8,47,1970-01-01 02:00:44,2025-11-05 16:26:43,0,0,0
9,47,1970-01-01 02:00:44,2025-11-05 16:26:43,0,0,0
6,47,1970-01-01 02:00:44,2025-11-05 16:26:43,0,0,0
7,48,1970-01-01 02:00:45,2025-11-05 16:26:44,0,0,0
9,48,1970-01-01 02:00:45,2025-11-05 16:26:44,0,0,0
6,48,1970-01-01 02:00:45,2025-11-05 16:26:44,0,0,0
8,48,1970-01-01 02:00:45,2025-11-05 16:26:44,0,0,0
8,49,1970-01-01 02:00:46,2025-11-05 16:26:45,0,0,0
7,49,1970-01-01 02:00:46,2025-11-05 16:26:45,0,0,0
9,49,1970-01-01 02:00:46,2025-11-05 16:26:45,0,0,0
6,49,1970-01-01 02:00:46,2025-11-05 16:26:45,0,0,0
7,50,1970-01-01 02:00:47,2025-11-05 16:26:46,0,0,0
6,50,1970-01-01 02:00:47,2025-11-05 16:26:46,0,0,0
9,50,1970-01-01 02:00:47,2025-11-05 16:26:46,0,0,0
8,50,1970-01-01 02:00:47,2025-11-05 16:26:46,0,0,0
7,51,1970-01-01 02:00:48,2025-11-05 16:26:47,0,0,0
9,51,1970-01-01 02:00:48,2025-11-05 16:26:47,0,0,0
6,51,1970-01-01 02:00:48,2025-11-05 16:26:47,0,0,0
8,51,1970-01-01 02:00:48,2025-11-05 16:26:47,0,0,0
7,52,1970-01-01 02:00:49,2025-11-05 16:26:48,0,0,0
6,52,1970-01-01 02:00:49,2025-11-05 16:26:48,0,0,0
8,52,1970-01-01 02:00:49,2025-11-05 16:26:48,0,0,0
9,52,1970-01-01 02:00:49,2025-11-05 16:26:48,0,0,0
7,53,1970-01-01 02:00:50,2025-11-05 16:26:49,0,0,0
9,53,1970-01-01 02:00:50,2025-11-05 16:26:49,0,0,0
6,53,1970-01-01 02:00:50,2025-11-05 16:26:49,0,0,0
8,53,1970-01-01 02:00:50,2025-11-05 16:26:49,0,0,0
7,54,1970-01-01 02:00:51,2025-11-05 16:26:50,0,0,0
